Word,AROU,VAL,DOM,CNC,IMAG,FAM,SIZE,GEND
abattoir,0,0,0,1,0,0,1,1
abbey,0,1,0,1,1,0,1,0
abbreviate,0,1,1,0,0,0,0,0
abdicate,0,0,0,0,0,0,1,1
abdication,0,0,0,0,0,0,1,1
abdomen,1,1,1,1,1,0,0,1
abdominal,0,1,0,1,1,0,0,1
abduct,1,0,0,0,0,0,1,1
abducted,1,0,0,1,0,1,1,1
abduction,1,0,0,1,1,0,1,1
aberration,1,0,0,0,0,0,1,1
abide,0,1,0,0,0,0,0,1
ability,1,1,1,0,0,1,1,1
able,1,1,1,0,0,1,1,0
abode,0,1,1,0,0,0,1,0
abortion,0,0,1,1,0,0,1,0
abroad,1,1,1,0,0,1,1,0
abrupt,1,0,0,0,0,0,1,1
absorb,0,1,1,0,0,0,0,0
abstract,1,1,0,0,0,0,1,0
absurd,1,0,0,0,0,0,1,0
absurdly,0,0,0,0,0,0,1,0
abundance,1,1,1,0,0,0,1,0
abundant,1,1,1,0,0,0,1,0
abuse,1,0,0,0,0,1,1,1
abuser,1,0,0,1,1,0,1,1
abyss,1,0,0,0,0,0,1,1
academic,1,1,1,0,0,1,1,1
accelerate,1,1,1,0,0,1,1,1
accent,1,1,1,0,0,1,0,0
accept,1,1,1,0,0,1,1,0
acceptance,1,1,1,0,0,1,1,0
access,0,1,1,0,0,1,0,0
accident,1,0,0,0,1,1,1,0
accidental,0,0,0,0,0,1,0,0
accordion,0,1,1,1,1,0,0,1
accountant,0,0,0,1,1,0,0,1
accuse,1,0,0,0,0,0,1,1
accused,1,0,0,0,0,0,1,1
ace,1,1,1,0,0,0,1,1
ache,1,0,0,0,0,1,0,0
aches,0,0,0,0,0,1,0,0
achieve,1,1,1,0,0,1,1,0
achieved,1,1,1,0,0,1,1,0
achievement,1,1,1,0,0,1,1,0
acorn,0,1,1,1,1,0,0,0
acquire,0,1,1,0,0,0,0,1
acrobat,1,1,1,1,1,0,0,0
activate,1,1,1,0,0,1,1,1
active,1,1,1,0,0,1,1,1
activity,1,1,1,0,0,1,1,0
actor,1,1,1,1,1,1,1,1
actress,1,1,1,1,1,1,1,0
actual,0,1,1,0,0,1,1,0
actually,0,1,1,0,0,1,0,0
acute,0,0,0,0,0,0,0,0
adage,0,1,1,0,0,0,0,0
adapt,0,1,1,0,0,1,1,0
add,0,1,1,0,0,1,0,0
addict,1,0,0,0,1,1,1,1
addicted,1,0,0,0,0,1,1,1
addition,0,1,1,0,0,1,1,0
address,0,1,1,1,0,1,0,0
address (postal),0,0,1,1,0,1,0,0
address (speak to),0,1,1,0,0,0,1,0
adequate,0,1,0,0,0,1,0,0
adjective,0,1,0,0,0,1,0,0
adjust,0,1,1,0,0,1,0,0
admiral,1,1,1,1,1,0,1,1
admire,1,1,1,0,0,1,1,0
admired,1,1,1,0,0,1,1,0
adopt,0,1,1,0,0,0,1,0
